date,DJI,AA,AIG,AXP,BA,C,CAT,DD,DIS,GE,GM,HD,HON,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,PFE,PG,T,UTX,VZ,WMT,XOM
2006-01-03,10847.41,28.72,68.41,51.53,68.63,45.26,55.86,40.68,24.18,33.6,17.82,39.79,36.14,28.35,80.13,24.57,59.08,37.78,38.98,32.72,75.93,52.27,30.73,26.19,22.16,56.38,22.7,54.94,26.79,44.9,56.64
2006-01-04,10880.15,28.89,68.51,51.03,69.34,44.42,57.29,40.46,23.77,33.56,18.3,39.05,35.99,29.18,80.03,24.9,59.99,37.56,38.91,33.01,75.54,52.65,31.08,26.32,22.88,56.48,22.87,54.61,27.58,44.99,56.74
2006-01-05,10882.15,29.12,68.6,51.57,68.53,44.65,57.29,40.38,24.19,33.47,19.34,38.67,35.97,28.97,80.56,25.25,59.74,37.67,39.1,33.05,74.85,52.52,31.13,26.34,22.9,56.3,22.92,54.41,27.9,44.38,56.45
2006-01-06,10959.31,29.02,68.89,51.75,67.57,44.65,58.43,40.55,24.52,33.7,19.61,38.96,36.53,29.8,82.96,25.28,60.01,37.94,39.47,33.25,75.47,52.95,31.08,26.26,23.16,56.24,23.21,54.58,28.01,44.56,57.57
2006-01-09,11011.9,29.37,68.57,53.04,67.01,44.43,59.49,40.32,24.78,33.61,21.12,39.38,36.23,30.17,81.76,25.44,60.38,38.55,39.66,33.88,75.84,53.11,31.58,26.21,23.16,56.67,23.3,55.2,28.12,44.4,57.54
2006-01-10,11011.58,28.44,69.18,52.88,67.33,44.57,59.25,40.2,25.09,33.43,20.79,40.33,36.17,30.33,82.1,25.1,60.49,38.61,39.7,33.91,75.37,53.04,31.27,26.35,22.77,56.45,23.16,55.24,28.24,44.54,57.99
2006-01-11,11043.44,28.05,69.6,52.59,68.3,44.98,59.28,38.87,25.33,33.66,20.61,41.44,36.19,30.88,82.19,25.12,59.91,38.58,39.72,34.5,75.22,53.31,31.39,26.63,23.06,56.65,23.34,54.41,28.58,45.23,58.38
2006-01-12,10962.36,27.68,69.04,52.6,67.9,45.02,60.13,38.02,25.41,33.25,19.76,41.05,35.77,30.57,81.61,24.96,59.63,37.87,39.5,33.96,74.57,53.23,31.41,26.48,22.9,56.02,23.24,53.9,28.69,44.43,57.77
2006-01-13,10959.87,27.81,68.84,52.5,67.7,44.92,60.24,37.86,25.47,33.35,19.2,40.43,35.85,31.43,81.22,24.78,59.26,37.84,39.37,33.65,74.38,53.29,31.4,26.53,22.99,56.49,23.27,54.1,28.75,44.1,59.06
2006-01-17,10896.32,27.97,67.84,52.03,66.93,44.47,60.85,37.75,25.15,33.2,18.68,40.11,35.56,31.2,81.05,24.52,58.74,37.64,39.11,33.77,73.99,52.85,31.16,26.34,22.63,56.25,23.13,54.41,28.12,43.66,59.61
